src_ip,src_mac,dst_mac,status,timestamp
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:03
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:04
192.168.1.101,96:1f:83:33:27:8b,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:04
192.168.1.101,96:1f:83:33:27:8b,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:04
192.168.1.101,96:1f:83:33:27:8b,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:04
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:05
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:05
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:06
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:07
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:07
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:08
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:08
34.164.192.168,ac:22:0b:2d:22:a4,c0:25:2f:b7:f8:a3,OK,2023-07-18 13:33:08
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:09
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:09
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:10
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:11
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:11
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:11
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:12
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:13
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:13
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:14
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:15
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:15
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:15
192.168.1.108,62:c7:31:d3:af:bf,01:00:5e:00:00:fb,OK,2023-07-18 13:33:16
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:16
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:17
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:17
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:18
192.168.1.105,76:f5:f4:1a:6d:33,01:00:5e:00:00:fb,OK,2023-07-18 13:33:18
192.168.1.100,b0:6e:bf:73:11:82,01:00:5e:00:00:fb,OK,2023-07-18 13:33:19
0.0.0.0,00:14:c2:54:03:3f,33:33:00:01:00:03,OK,2023-07-18 13:33:19
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fc,OK,2023-07-18 13:33:19
0.0.0.0,00:14:c2:54:03:3f,33:33:00:01:00:03,OK,2023-07-18 13:33:19
192.168.1.103,00:14:c2:54:03:3f,01:00:5e:00:00:fc,OK,2023-07-18 13:33:19
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:19
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:19
192.168.1.103,00:14:c2:54:03:3f,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:19
192.168.1.103,00:14:c2:54:03:3f,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:20
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
